상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드_명,행정동_코드_명,경도,위도
3110055,황학동벼룩시장,201642,452260,중구,황학동,127.01858665039832,37.56987904492781
3110008,배화여자대학교(박노수미술관),197093,453418,종로구,청운효자동,126.9670895683088,37.58030943835253
3110009,자하문터널,196991,455057,종로구,부암동,126.96592808590958,37.59507637869068
3110010,평창동서측,197064,456643,종로구,평창동,126.96674832970702,37.60936632114107
3110017,정독도서관,198581,453781,종로구,가회동,126.98393465833044,37.583583539469174
3110018,중앙고등학교,198883,453690,종로구,가회동,126.98735391827724,37.58276405131138
3110019,창덕궁,199222,452926,종로구,종로1?2?3?4가동,126.9911927073349,37.57588080606533
3110020,서울국제고등학교,199598,454302,종로구,혜화동,126.9954484333874,37.58827871837829
3110001,이북5도청사,196262,456660,종로구,평창동,126.95766519329227,37.60951658051797
3110002,독립문역 1번,196220,452912,종로구,무악동,126.95720886112564,37.57574723987454
3110003,세검정초등학교,196389,455998,종로구,부암동,126.95910679987408,37.60355253658663
3110004,대신고등학교,196517,452627,종로구,교남동,126.96057237511422,37.57318057632959
3110035,동묘앞역 2번,201699,452879,종로구,숭인2동,127.01923329716882,37.57545610038485
3110011,청운초등학교,197219,454141,종로구,청운효자동,126.96851328295918,37.58682400830492
3110012,성곡미술관,197292,452641,종로구,사직동,126.96934533653334,37.57330931964528
3110013,체부동홍종문가옥,197340,453202,종로구,사직동,126.96988666293326,37.5783640380782
3110014,경복고등학교,197484,453952,종로구,청운효자동,126.97151428391328,37.58512189400342
3110015,청와대사랑채,197585,453623,종로구,청운효자동,126.97265887241487,37.582157896694056
3110016,평창동동측,197827,457040,종로구,평창동,126.9753885072359,37.61294536602926
3110005,세검정,196688,455706,종로구,부암동,126.96249418113779,37.60092276960328
3110006,부암동주민센터,196701,454714,종로구,부암동,126.96264586419525,37.591984983800906
3110007,사직공원(한국사회과학도서관),196895,452714,종로구,사직동,126.96485097296461,37.573965793267824
3110037,신설동역 12번,201949,453159,종로구,숭인2동,127.02206413216838,37.577978389479746
3110038,경향신문사,197253,451928,중구,소공동,126.96890652578769,37.56688510789925
3110039,회현역 1번,198305,450967,중구,회현동,126.98081640265393,37.55822906707704
3110021,성균관대학교,199759,453776,종로구,혜화동,126.99727149747922,37.58353955150116
3110022,경신고등학교,199921,454166,종로구,혜화동,126.99910555256606,37.587053452651496
3110023,서울대병원,200139,453265,종로구,이화동,127.00157360371887,37.578935494743384
3110024,혜화동주민센터,200121,454192,종로구,혜화동,127.00136998074275,37.587287706215974
3110025,충신시장옆,200370,452813,종로구,종로5?6가동,127.00418850120057,37.57486293640551
3110026,종로5가역 4번,200477,452601,종로구,종로5?6가동,127.00539963254758,37.57295277820339
3110027,혜화역 1번,200507,453618,종로구,이화동,127.00573993541379,37.58211587382123
3110028,이화달팽이길,200575,452995,종로구,이화동,127.0065092999959,37.57650264132745
3110029,동대문역 1번,200934,452953,종로구,창신2동,127.01057331374025,37.57612392961357
3110030,동대문역 3번,201063,452656,종로구,창신1동,127.01203322302788,37.57344783562387
3110031,창신역 1번,201298,453314,종로구,창신3동,127.01469460184781,37.579376077698974
3110032,수족관거리,201321,452326,종로구,창신1동,127.01495320377123,37.570474218010425
3110033,창신역 4번,201471,453118,종로구,숭인1동,127.01665273399279,37.57760986925303
3110034,창신1동주민센터,201508,452344,종로구,창신1동,127.01707000762674,37.57063611007315
3110057,황학코아루아파트,202013,451863,중구,황학동,127.02278510211976,37.56630135637733
3110058,성심여자고등학교,195949,448136,용산구,원효로2동,126.95416739258842,37.53271444536362
3110059,새남터성지,196084,447363,용산구,이촌2동,126.95569888787642,37.52575028754142
3110036,동묘앞역 3번,201783,452612,종로구,숭인2동,127.02018355835784,37.57305028574799
3110040,중구회현체육센터(정화예술대남산캠퍼스),198420,450734,중구,회현동,126.98211844625749,37.55612994758037
3110041,남산케이블카,198659,450764,중구,명동,126.98482325928379,37.5564006254871
3110042,남산골공원옆,199565,450784,중구,필동,126.99507688426245,37.55658169774501
3110043,충무초등학교,200090,451226,중구,장충동,127.00101862988308,37.56056420346717
3110044,관성묘,200294,451298,중구,장충동,127.00332755313305,37.5612128786751
3110045,동대문역사문화공원역 5번,200434,451428,중구,장충동,127.0049121791401,37.56238411905503
3110046,버티고개,200514,450225,중구,다산동,127.0058168073455,37.55154507908497
3110047,다산성곽길,200639,450609,중구,다산동,127.00723173486928,37.55500483313109
3110048,장충동주민센터,200749,451274,중구,장충동,127.00847731320725,37.56099638199899
3110049,장충단 고개,200898,450889,중구,다산동,127.01016325011474,37.557527410235856
3110053,청구역 1번,201118,451376,중구,신당동,127.01265387519811,37.56191502489969
3110054,청구역 3번,201174,450806,중구,청구동,127.0132867887912,37.5567792722277
3110056,신당역 3번,201855,451480,중구,신당5동,127.02099573525913,37.562850872583056
3110079,후암동주민센터,198162,450065,용산구,후암동,126.97920022239718,37.55010179303207
3110080,해방촌예술마을,198518,449757,용산구,후암동,126.98322952776942,37.5473273581668
3110081,해방촌 남동측,198634,449401,용산구,용산2가동,126.98454285856135,37.544119980506025
3110050,약수역 7번,200868,450316,중구,약수동,127.00982304292711,37.55236472210246
3110051,한양공고앞 교차로,200997,451576,중구,신당동,127.01128463101034,37.5637171567379
3110052,장충초등학교,201128,451117,중구,다산동,127.01276666015386,37.55958143097188
3110060,효창공원앞역 6번,196339,448750,용산구,용문동,126.9585767524867,37.538248218205545
3110061,효창동주민센터,196409,449179,용산구,효창동,126.95936668628885,37.54211378231579
3110062,한강로동땡땡거리(은행나무길),196643,447278,용산구,한강로동,126.96202315666443,37.524986638584856
3110063,효창공원앞역 5번,196702,448664,용산구,용문동,126.96268438684383,37.53747472736998
3110064,효창공원앞역 2번,196816,449203,용산구,효창동,126.96397191654081,37.542331517069975
3110082,용산구청,199212,448107,용산구,이태원1동,126.99108467693513,37.53246171216063
3110083,서빙고역 1번,199271,446786,용산구,서빙고동,126.99175350506796,37.5205595234227
3110084,경리단길북측,199236,449136,용산구,이태원2동,126.9913551393898,37.54173302689627
3110085,경리단길남측,199260,448806,용산구,이태원2동,126.99162703817964,37.53875974659307
3110086,이태원역 북측,199383,448588,용산구,이태원1동,126.99301894331595,37.53679565632451
3110065,남정초등학교,196844,448550,용산구,원효로1동,126.96429155222101,37.53644808379059
3110066,서울역 15번,197079,450403,용산구,청파동,126.96694307959059,37.55314437161729
3110067,배문고등학교,197116,449954,용산구,청파동,126.96736357210598,37.54909900636352
3110068,남영역 1번,197107,449013,용산구,원효로1동,126.96726543215075,37.54062057647328
3110069,숙대입구,197161,449524,용산구,청파동,126.9678744716527,37.545224851300794
3110070,용산세무서,197188,447141,용산구,한강로동,126.96818911909422,37.52375408705928
3110071,한강미주맨션아파트,197152,446831,용산구,이촌1동,126.96778306850037,37.52096086871952
3110072,열정도,197247,448836,용산구,원효로1동,126.96885020857862,37.539026235143446
3110073,삼각지역 3번,197578,447973,용산구,한강로동,126.97259826981191,37.53125152806751
3110074,서울역 12번,197716,450166,용산구,남영동,126.97415273729469,37.551010804376816
3110075,숙대입구역 1번,197679,449714,용산구,남영동,126.9737354497403,37.54693819857306
3110076,삼각지역 14번,197737,448386,용산구,한강로동,126.97439587249721,37.534973065762415
3110077,삼광초등학교,197919,449884,용산구,후암동,126.97645081947958,37.54847046930043
3110078,이촌동점보아파트,198068,446532,용산구,이촌1동,126.97814575970818,37.51826924146274
3110110,상왕십리역 6번,202454,451618,성동구,왕십리2동,127.02777595118324,37.56409284717007
3110111,대현산장미원,202636,450338,성동구,응봉동,127.02983134596822,37.55255958190154
3110087,이태원엔틱가구거리,199502,448055,용산구,이태원1동,126.99436573207079,37.53199339365142
3110088,오산고등학교,199685,447296,용산구,서빙고동,126.99643648116178,37.525154870964045
3110089,서빙고동주민센터,199668,446947,용산구,서빙고동,126.99624432190274,37.52201036621853
3110090,한국폴리텍대학서울정수캠퍼스,199734,447571,용산구,보광동,126.99699070678436,37.52763264213135
3110091,리움미술관,199856,448602,용산구,한남동,126.99837070687353,37.53692199149617
3110092,NH농협은행 보광동지점,199990,447728,용산구,보광동,126.99988686653968,37.529047253229294
3110093,우사단길,200024,448092,용산구,한남동,127.00027153219374,37.532326898187094
3110094,오산중학교,200102,447300,용산구,보광동,127.00115390189413,37.52519095917811
3110095,한강진역 3번,200198,448658,용산구,한남동,127.00224029314316,37.537426541732394
3110096,한남힐사이드아파트,200260,449313,용산구,한남동,127.0029420309497,37.543328076010035
3110097,한남초등학교,200536,448696,용산구,한남동,127.00606465965808,37.53776878739838
3110098,서울독일학교,200952,448510,용산구,한남동,127.01077131857866,37.53609259101001
3110099,유엔빌리지길,201076,448324,용산구,한남동,127.01217403299694,37.53441659338167
3110100,옥수동우편취급국,200870,449042,성동구,옥수동,127.0098441670749,37.54088599319175
3110101,옥정중학교,201109,449012,성동구,옥수동,127.01254843888394,37.540615436825334
