기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,객단가,점포당_분기매출,점포당_월매출,폐업비율,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구_수,2030비율,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2025,1,3001491,이태원 관광특구,CS300015,가방,1569075360,7398,62,1,1,0,212094.53365774534,25307667.096774194,8435889.032258065,1.6129032258064515,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS200030,피부관리실,27388312,328,9,0,0,1,83500.9512195122,3043145.777777778,1014381.925925926,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS200037,노래방,94383079,3307,5,0,0,0,28540.392803144845,18876615.8,6292205.266666667,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300016,안경,627053943,2570,8,0,0,0,243989.86108949417,78381742.875,26127247.625,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300043,전자상거래업,34806521,713,34,0,2,0,48817.0,1023721.2058823529,341240.4019607843,5.88235294117647,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300020,서적,199648044,3939,3,0,0,0,50684.95658796649,66549348.0,22183116.0,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS100003,일식음식점,504002213,7816,22,0,1,1,64483.39470317298,22909191.5,7636397.166666667,4.545454545454546,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS200029,네일숍,27975172,875,5,0,0,1,31971.62514285714,5595034.4,1865011.4666666668,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS100002,중식음식점,1794122204,39372,18,0,1,1,45568.4802397643,99673455.77777778,33224485.259259257,5.555555555555555,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS100005,제과점,1183162877,79582,24,0,0,5,14867.217172224875,49298453.208333336,16432817.736111112,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS200024,스포츠클럽,336965519,939,9,0,1,0,358855.7177848775,37440613.222222224,12480204.407407409,11.11111111111111,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS100004,양식음식점,16215100484,393127,220,7,3,5,41246.46865771112,73705002.2,24568334.066666666,1.3636363636363635,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300014,신발,3876870610,23174,44,0,0,0,167293.9764391128,88110695.68181819,29370231.893939395,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS100006,패스트푸드점,3467064590,201265,20,0,1,4,17226.366183886916,173353229.5,57784409.833333336,5.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
